timestamp,event_type,token,raw_log_line
"2026-09-07 17:55:06,818",HONEYPOT_CHECK,,"2026-09-07 17:55:06,818 INFO   HONEYPOT CHECK: V4 roundtrip OK (81.0%) + transfer OK — SAFE"
"2026-09-07 17:55:06,818",BUY_ATTEMPT,BIDEN,"2026-09-07 17:55:06,818 INFO V4 BUY BIDEN with 106.783857 USDG (~$106.78) fee=99000 tick=990"
"2026-09-07 17:55:07,571",TX_DETAIL,,"2026-09-07 17:55:07,571 INFO   V4 amountOutMin: 264063 tokens (2% tolerance)"
"2026-09-07 17:55:10,852",BUY_REVERTED,BIDEN,"2026-09-07 17:55:10,852 ERROR V4 BUY BIDEN REVERTED"
"2026-09-07 17:55:10,852",SCAN_IDLE,,"2026-09-07 17:55:10,852 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:55:15,906",SKIP,,"2026-09-07 17:55:15,906 INFO SKIP Gun — pump already ripped too hard (5m=+91.7% > +80% cap)"
"2026-09-07 17:55:15,906",SCAN,,"2026-09-07 17:55:15,906 INFO Pumping candidates: 1"
"2026-09-07 17:55:15,906",PICK,BIDEN,"2026-09-07 17:55:15,906 INFO PICK (cached): BIDEN 5m=+25.9% route=v4usdg_99000_990"
"2026-09-07 17:55:15,906",OTHER,,"2026-09-07 17:55:15,906 INFO ⏱ PRE-ENTRY: Studying BIDEN momentum... (3 readings, 6s)"
"2026-09-07 17:55:18,928",MOMENTUM_READING,,"2026-09-07 17:55:18,928 INFO   Reading 2: 5m=+15.1% B/S=1429/1439 (0.99)"
"2026-09-07 17:55:21,950",MOMENTUM_READING,,"2026-09-07 17:55:21,950 INFO   Reading 3: 5m=+15.1% B/S=1429/1439 (0.99)"
"2026-09-07 17:55:21,950",MOMENTUM_VERIFIED,,"2026-09-07 17:55:21,950 INFO   ✅ Momentum VERIFIED: 25.9→15.1→15.1 — ENTERING"
"2026-09-07 17:55:25,000",HONEYPOT_CHECK,,"2026-09-07 17:55:25,000 INFO   HONEYPOT CHECK: V4 transfer sim inconclusive: ('0xf4d678b8', '0xf4d678b8') — proceeding (roundtrip 81.0% OK)"
"2026-09-07 17:55:25,000",HONEYPOT_CHECK,,"2026-09-07 17:55:25,000 INFO   HONEYPOT CHECK: V4 roundtrip OK (81.0%) + transfer OK — SAFE"
"2026-09-07 17:55:25,000",BUY_ATTEMPT,BIDEN,"2026-09-07 17:55:25,000 INFO V4 BUY BIDEN with 106.783857 USDG (~$106.78) fee=99000 tick=990"
"2026-09-07 17:55:25,757",TX_DETAIL,,"2026-09-07 17:55:25,757 INFO   V4 amountOutMin: 292886 tokens (2% tolerance)"
"2026-09-07 17:55:29,054",BUY_REVERTED,BIDEN,"2026-09-07 17:55:29,054 ERROR V4 BUY BIDEN REVERTED"
"2026-09-07 17:55:29,054",SCAN_IDLE,,"2026-09-07 17:55:29,054 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:55:34,405",SKIP,,"2026-09-07 17:55:34,405 INFO SKIP Gun — pump already ripped too hard (5m=+85.4% > +80% cap)"
"2026-09-07 17:55:34,406",SCAN,,"2026-09-07 17:55:34,406 INFO Pumping candidates: 1"
"2026-09-07 17:55:34,406",PICK,BIDEN,"2026-09-07 17:55:34,406 INFO PICK (cached): BIDEN 5m=+22.9% route=v4usdg_99000_990"
"2026-09-07 17:55:34,406",OTHER,,"2026-09-07 17:55:34,406 INFO ⏱ PRE-ENTRY: Studying BIDEN momentum... (3 readings, 6s)"
"2026-09-07 17:55:37,425",MOMENTUM_READING,,"2026-09-07 17:55:37,425 INFO   Reading 2: 5m=+15.1% B/S=1429/1439 (0.99)"
"2026-09-07 17:55:40,442",MOMENTUM_READING,,"2026-09-07 17:55:40,442 INFO   Reading 3: 5m=+15.1% B/S=1429/1439 (0.99)"
"2026-09-07 17:55:40,442",MOMENTUM_VERIFIED,,"2026-09-07 17:55:40,442 INFO   ✅ Momentum VERIFIED: 22.9→15.1→15.1 — ENTERING"
